Date,Code,Rev,Res
2020-01-08,WH,1636.18,13.0
2020-01-09,AR,0.0,0.0
2020-01-09,CO,0.0,0.0
2020-01-09,CS,681.69,5.0
2020-01-09,CT,0.0,0.0
2020-01-09,FIX,0.0,0.0
2020-01-09,GC,0.0,0.0
2020-01-09,GE,0.0,0.0
2020-01-09,GL,0.0,0.0
2020-01-09,GS,218.0,2.0
2020-01-09,GV,0.0,0.0
2020-01-09,HSE,0.0,0.0
2020-01-09,NG,2647.54,19.0
2020-01-09,OP,0.0,0.0
2020-01-09,OT,12443.93,112.0
2020-01-09,PK,628.35,5.0
2020-01-09,PSBY,0.0,0.0
2020-01-09,RA,169.0,1.0
2020-01-09,SP,3455.51,24.0
2020-01-09,WH,1218.0,12.0
2020-01-10,AR,0.0,0.0
2020-01-10,CO,0.0,0.0
2020-01-10,CS,0.0,0.0
2020-01-10,CT,0.0,0.0
2020-01-10,FIX,0.0,0.0
2020-01-10,GC,171.0,1.0
2020-01-10,GE,0.0,0.0
2020-01-10,GL,0.0,0.0
2020-01-10,GS,654.0,5.0
2020-01-10,GV,0.0,0.0
2020-01-10,HSE,0.0,0.0
2020-01-10,NG,2551.91,16.0
2020-01-10,OP,113.4,1.0
2020-01-10,OT,14126.91,121.0
2020-01-10,PK,251.95,2.0
2020-01-10,PSBY,0.0,0.0
2020-01-10,RA,0.0,0.0
2020-01-10,SP,5312.06,32.0
2020-01-10,WH,1624.0,16.0
2020-01-11,AR,0.0,0.0
2020-01-11,CO,0.0,1.0
2020-01-11,CS,0.0,0.0
2020-01-11,CT,0.0,0.0
2020-01-11,FIX,0.0,0.0
2020-01-11,GC,3795.0,23.0
2020-01-11,GE,0.0,0.0
2020-01-11,GL,0.0,0.0
2020-01-11,GS,59.0,1.0
2020-01-11,GV,0.0,0.0
2020-01-11,HSE,0.0,0.0
2020-01-11,NG,2890.07,17.0
2020-01-11,OP,173.4,1.0
2020-01-11,OT,17861.14,131.0
2020-01-11,PK,472.95,3.0
2020-01-11,PSBY,0.0,0.0
2020-01-11,RA,0.0,0.0
2020-01-11,SP,6644.31,36.0
2020-01-11,WH,2907.78,24.0
2020-01-12,AR,0.0,0.0
2020-01-12,CO,0.0,0.0
2020-01-12,CS,157.88,1.0
2020-01-12,CT,0.0,0.0
2020-01-12,FIX,0.0,0.0
2020-01-12,GC,7803.34,50.0
2020-01-12,GE,0.0,0.0
2020-01-12,GL,0.0,0.0
2020-01-12,GS,0.0,0.0
2020-01-12,GV,0.0,0.0
2020-01-12,HSE,0.0,0.0
2020-01-12,NG,5073.3,32.0
2020-01-12,OP,0.0,0.0
2020-01-12,OT,10095.1,84.0
2020-01-12,PK,725.25,5.0
2020-01-12,PSBY,0.0,0.0
2020-01-12,RA,0.0,0.0
2020-01-12,SP,3970.14,25.0
2020-01-12,WH,2565.18,24.0
2020-01-13,AR,0.0,0.0
2020-01-13,CO,0.0,0.0
2020-01-13,CS,436.26,2.0
2020-01-13,CT,0.0,0.0
2020-01-13,FIX,0.0,0.0
2020-01-13,GC,15091.0,87.0
2020-01-13,GE,0.0,0.0
2020-01-13,GL,0.0,0.0
2020-01-13,GS,0.0,0.0
2020-01-13,GV,0.0,0.0
2020-01-13,HSE,0.0,0.0
2020-01-13,NG,6550.5,37.0
2020-01-13,OP,0.0,0.0
2020-01-13,OT,9112.85,50.0
2020-01-13,PK,869.1,4.0
2020-01-13,PSBY,0.0,0.0
2020-01-13,RA,0.0,0.0
2020-01-13,SP,6499.88,24.0
2020-01-13,WH,3335.38,29.0
2020-01-14,AR,0.0,0.0
2020-01-14,CO,0.0,0.0
2020-01-14,CS,705.38,3.0
2020-01-14,CT,0.0,0.0
2020-01-14,FIX,0.0,0.0
2020-01-14,GC,14381.0,85.0
2020-01-14,GE,0.0,0.0
2020-01-14,GL,0.0,0.0
2020-01-14,GS,0.0,0.0
2020-01-14,GV,0.0,0.0
2020-01-14,HSE,0.0,0.0
2020-01-14,NG,5720.62,34.0
2020-01-14,OP,0.0,0.0
2020-01-14,OT,10818.12,54.0
2020-01-14,PK,862.6,4.0
2020-01-14,PSBY,0.0,0.0
2020-01-14,RA,0.0,0.0
2020-01-14,SP,6281.05,26.0
2020-01-14,WH,3577.38,28.0
2020-01-15,AR,0.0,0.0
2020-01-15,CO,0.0,0.0
2020-01-15,CS,199.0,1.0
2020-01-15,CT,0.0,0.0
2020-01-15,FIX,0.0,0.0
2020-01-15,GC,13908.0,80.0
2020-01-15,GE,0.0,0.0
2020-01-15,GL,0.0,0.0
2020-01-15,GS,0.0,0.0
2020-01-15,GV,0.0,0.0
2020-01-15,HSE,0.0,0.0
2020-01-15,NG,7178.2,38.0
2020-01-15,OP,0.0,0.0
2020-01-15,OT,9290.47,53.0
2020-01-15,PK,159.0,1.0
2020-01-15,PSBY,0.0,0.0
2020-01-15,RA,249.0,1.0
2020-01-15,SP,6159.54,27.0
2020-01-15,WH,3091.38,24.0
2020-01-16,AR,0.0,0.0
2020-01-16,CO,0.0,0.0
2020-01-16,CS,194.65,1.0
2020-01-16,CT,0.0,0.0
2020-01-16,FIX,0.0,0.0
2020-01-16,GC,9139.88,54.0
2020-01-16,GE,0.0,0.0
2020-01-16,GL,0.0,0.0
2020-01-16,GS,0.0,0.0
2020-01-16,GV,0.0,0.0
